Month,Category,Total,income
November,Other,32.349999999999994,4172.32
November,utilities,488.23,4172.32
November,shopping,857.6,4172.32
November,transport,406.4,4172.32
November,entertainment,95.97,4172.32
November,food & drinks,755.82,4172.32
November,health & wellness,233.4,4172.32
October,Other,18.75,0
October,utilities,125.67,0
October,shopping,214.87,0
October,transport,138.8,0
October,food & drinks,32.5,0
October,health & wellness,45.0,0
January,Other,33.55,6794.64
January,utilities,345.39,6794.64
January,shopping,729.0899999999999,6794.64
January,transport,349.4,6794.64
January,entertainment,85.98,6794.64
January,food & drinks,755.55,6794.64
January,health & wellness,81.8,6794.64
December,Other,48.3,6769.64
December,utilities,514.39,6769.64
December,shopping,1109.95,6769.64
December,transport,447.3,6769.64
December,entertainment,88.98,6769.64
December,food & drinks,910.8,6769.64
December,health & wellness,237.3,6769.64
