Date,Description,Amount,Type,Balance,Category
2024-10-26,Gas Station,-48.0,debit,7786.64,Transport
2024-10-28,Uber,-23.5,debit,7679.26,Transport
2024-10-28,Amazon,-89.99,debit,7589.27,Shopping
2024-10-29,Electric Company,-125.67,debit,7463.6,Utilities
2024-10-29,McDonald's,-18.75,debit,7444.85,Food & Drinks
2024-10-29,Parking Garage,-15.0,debit,7429.85,Transport
2024-10-30,Gym Membership,-45.0,debit,7384.85,Health & Wellness
2024-10-30,Pizza Hut,-32.5,debit,7352.35,Food & Drinks
2024-10-31,Target,-124.88,debit,7227.47,Shopping
2024-10-31,Gas Station,-52.3,debit,7175.17,Transport
2024-11-01,Coffee Shop,-8.25,debit,7166.92,Food & Drinks
2024-11-01,Metro Card,-40.0,debit,7126.92,Transport
2024-11-02,Walmart,-78.45,debit,7048.47,Shopping
2024-11-02,Spotify,-9.99,debit,7038.48,Entertainment
2024-11-03,Restaurant XYZ,-65.3,debit,6973.18,Food & Drinks
2024-11-03,Uber,-18.75,debit,6954.43,Transport
2024-11-04,Pharmacy,-34.5,debit,6919.93,Health & Wellness
2024-11-04,Grocery Store,-92.15,debit,6827.78,Food & Drinks
2024-11-05,Internet Provider,-89.99,debit,6737.79,Utilities
2024-11-05,Starbucks,-14.8,debit,6722.99,Food & Drinks
2024-11-06,Cinema,-28.0,debit,6694.99,Entertainment
2024-11-06,Gas Station,-45.67,debit,6649.32,Transport
2024-11-07,Subway,-12.99,debit,6636.33,Food & Drinks
2024-11-07,Best Buy,-156.99,debit,6479.34,Shopping
2024-11-08,Phone Bill,-65.0,debit,6414.34,Utilities
2024-11-08,Local Cafe,-9.5,debit,6404.84,Food & Drinks
2024-11-09,Freelance Payment,1250.0,credit,7654.84,Income
2024-11-09,Amazon,-43.28,debit,7611.56,Shopping
2024-11-10,Grocery Store,-56.78,debit,7554.78,Food & Drinks
2024-11-10,Uber,-21.3,debit,7533.48,Transport
2024-11-10,Parking Garage,-12.0,debit,7521.48,Transport
2024-11-11,Doctor Visit,-125.0,debit,7396.48,Health & Wellness
2024-11-11,McDonald's,-15.45,debit,7381.03,Food & Drinks
2024-11-12,Water Company,-45.8,debit,7335.23,Utilities
2024-11-12,Starbucks,-11.25,debit,7323.98,Food & Drinks
2024-11-13,Target,-87.5,debit,7236.48,Shopping
2024-11-13,Gas Station,-48.9,debit,7187.58,Transport
2024-11-14,Pizza Hut,-38.75,debit,7148.83,Food & Drinks
2024-11-14,Game Store,-59.99,debit,7088.84,Shopping
2024-11-15,Salary Deposit,2847.32,credit,9936.16,Income
2024-11-15,Grocery Store,-71.2,debit,9864.96,Food & Drinks
2024-11-16,Metro Card,-40.0,debit,9824.96,Transport
2024-11-16,Netflix,-15.99,debit,9808.97,Entertainment
2024-11-17,Restaurant XYZ,-72.4,debit,9736.57,Food & Drinks
2024-11-17,Uber,-19.85,debit,9716.72,Transport
2024-11-18,Clothing Store,-134.99,debit,9581.73,Shopping
2024-11-18,Coffee Shop,-7.5,debit,9574.23,Food & Drinks
2024-11-19,Pharmacy,-28.9,debit,9545.33,Health & Wellness
2024-11-19,Electric Company,-132.45,debit,9412.88,Utilities
2024-11-20,Amazon,-92.67,debit,9320.21,Shopping
2024-11-20,Gas Station,-51.25,debit,9268.96,Transport
2024-11-21,Gym Membership,-45.0,debit,9223.96,Health & Wellness
2024-11-21,Starbucks,-13.6,debit,9210.36,Food & Drinks
2024-11-22,Walmart,-108.33,debit,9102.03,Shopping
2024-11-22,Uber,-24.5,debit,9077.53,Transport
2024-11-23,Grocery Store,-64.85,debit,9012.68,Food & Drinks
2024-11-23,Cinema,-32.0,debit,8980.68,Entertainment
2024-11-24,Local Cafe,-10.25,debit,8970.43,Food & Drinks
2024-11-24,Gas Station,-46.78,debit,8923.65,Transport
2024-11-25,Internet Provider,-89.99,debit,8833.66,Utilities
2024-11-25,McDonald's,-16.9,debit,8816.76,Food & Drinks
2024-11-26,Target,-95.4,debit,8721.36,Shopping
2024-11-26,Parking Garage,-15.0,debit,8706.36,Transport
2024-11-27,Pizza Hut,-41.25,debit,8665.11,Food & Drinks
2024-11-27,Spotify,-9.99,debit,8655.12,Entertainment
2024-11-28,Restaurant XYZ,-68.5,debit,8586.62,Food & Drinks
2024-11-28,Uber,-22.4,debit,8564.22,Transport
2024-11-29,Grocery Store,-83.7,debit,8480.52,Food & Drinks
2024-11-29,Phone Bill,-65.0,debit,8415.52,Utilities
2024-11-30,Refund,75.0,credit,8490.52,Income
2024-11-30,Starbucks,-12.8,debit,8477.72,Food & Drinks
2024-12-01,Salary Deposit,2847.32,credit,11325.04,Income
2024-12-01,Amazon,-118.45,debit,11206.59,Shopping
2024-12-02,Gas Station,-49.3,debit,11157.29,Transport
2024-12-02,Grocery Store,-69.95,debit,11087.34,Food & Drinks
2024-12-03,Metro Card,-40.0,debit,11047.34,Transport
2024-12-03,Coffee Shop,-8.75,debit,11038.59,Food & Drinks
2024-12-04,Doctor Visit,-150.0,debit,10888.59,Health & Wellness
2024-12-04,McDonald's,-17.25,debit,10871.34,Food & Drinks
2024-12-05,Water Company,-48.6,debit,10822.74,Utilities
2024-12-05,Best Buy,-189.99,debit,10632.75,Shopping
2024-12-06,Uber,-20.15,debit,10612.6,Transport
2024-12-06,Starbucks,-11.9,debit,10600.7,Food & Drinks
2024-12-07,Grocery Store,-76.4,debit,10524.3,Food & Drinks
2024-12-07,Cinema,-35.0,debit,10489.3,Entertainment
2024-12-08,Electric Company,-128.9,debit,10360.4,Utilities
2024-12-08,Pizza Hut,-36.8,debit,10323.6,Food & Drinks
2024-12-09,Target,-102.55,debit,10221.05,Shopping
2024-12-09,Gas Station,-52.7,debit,10168.35,Transport
2024-12-10,Freelance Payment,950.0,credit,11118.35,Income
2024-12-10,Netflix,-15.99,debit,11102.36,Entertainment
2024-12-11,Restaurant XYZ,-81.3,debit,11021.06,Food & Drinks
2024-12-11,Parking Garage,-18.0,debit,11003.06,Transport
2024-12-12,Gym Membership,-45.0,debit,10958.06,Health & Wellness
2024-12-12,Grocery Store,-58.25,debit,10899.81,Food & Drinks
2024-12-13,Amazon,-67.89,debit,10831.92,Shopping
2024-12-13,Uber,-23.9,debit,10808.02,Transport
2024-12-14,Walmart,-94.6,debit,10713.42,Shopping
2024-12-14,Local Cafe,-9.25,debit,10704.17,Food & Drinks
2024-12-15,Salary Deposit,2847.32,credit,13551.49,Income
2024-12-15,Internet Provider,-89.99,debit,13461.5,Utilities
2024-12-16,Gas Station,-47.85,debit,13413.65,Transport
2024-12-16,Starbucks,-13.4,debit,13400.25,Food & Drinks
2024-12-17,Pharmacy,-42.3,debit,13357.95,Health & Wellness
2024-12-17,Grocery Store,-72.9,debit,13285.05,Food & Drinks
2024-12-18,Phone Bill,-65.0,debit,13220.05,Utilities
2024-12-18,McDonald's,-14.75,debit,13205.3,Food & Drinks
2024-12-19,Clothing Store,-145.0,debit,13060.3,Shopping
2024-12-19,Uber,-19.6,debit,13040.7,Transport
2024-12-20,Target,-88.25,debit,12952.45,Shopping
2024-12-20,Cinema,-28.0,debit,12924.45,Entertainment
2024-12-21,Grocery Store,-81.5,debit,12842.95,Food & Drinks
2024-12-21,Gas Station,-50.4,debit,12792.55,Transport
2024-12-22,Restaurant XYZ,-74.2,debit,12718.35,Food & Drinks
2024-12-22,Spotify,-9.99,debit,12708.36,Entertainment
2024-12-23,Amazon,-156.78,debit,12551.58,Shopping
2024-12-23,Coffee Shop,-10.5,debit,12541.08,Food & Drinks
2024-12-24,Pizza Hut,-44.9,debit,12496.18,Food & Drinks
2024-12-24,Metro Card,-40.0,debit,12456.18,Transport
2024-12-25,Grocery Store,-95.3,debit,12360.88,Food & Drinks
2024-12-26,Electric Company,-135.7,debit,12225.18,Utilities
2024-12-26,Starbucks,-12.15,debit,12213.03,Food & Drinks
2024-12-27,Uber,-21.8,debit,12191.23,Transport
2024-12-27,Game Store,-69.99,debit,12121.24,Shopping
2024-12-28,Walmart,-76.45,debit,12044.79,Shopping
2024-12-28,Gas Station,-48.6,debit,11996.19,Transport
2024-12-29,Grocery Store,-63.85,debit,11932.34,Food & Drinks
2024-12-29,Parking Garage,-15.0,debit,11917.34,Transport
2024-12-30,McDonald's,-16.3,debit,11901.04,Food & Drinks
2024-12-30,Water Company,-46.2,debit,11854.84,Utilities
2024-12-31,Restaurant XYZ,-89.5,debit,11765.34,Food & Drinks
2024-12-31,Refund,125.0,credit,11890.34,Income
2025-01-01,Grocery Store,-71.25,debit,11819.09,Food & Drinks
2025-01-02,Salary Deposit,2847.32,credit,14666.41,Income
2025-01-02,Netflix,-15.99,debit,14650.42,Entertainment
2025-01-03,Starbucks,-11.6,debit,14638.82,Food & Drinks
2025-01-03,Gas Station,-51.9,debit,14586.92,Transport
2025-01-04,Amazon,-103.45,debit,14483.47,Shopping
2025-01-04,Uber,-22.7,debit,14460.77,Transport
2025-01-05,Grocery Store,-68.5,debit,14392.27,Food & Drinks
2025-01-05,Cinema,-31.0,debit,14361.27,Entertainment
2025-01-06,Target,-91.8,debit,14269.47,Shopping
2025-01-06,Local Cafe,-8.9,debit,14260.57,Food & Drinks
2025-01-07,Internet Provider,-89.99,debit,14170.58,Utilities
2025-01-07,Pizza Hut,-39.6,debit,14130.98,Food & Drinks
2025-01-08,Gym Membership,-45.0,debit,14085.98,Health & Wellness
2025-01-08,Gas Station,-49.25,debit,14036.73,Transport
2025-01-09,Grocery Store,-74.3,debit,13962.43,Food & Drinks
2025-01-09,Pharmacy,-36.8,debit,13925.63,Health & Wellness
2025-01-10,McDonald's,-15.9,debit,13909.73,Food & Drinks
2025-01-10,Uber,-20.4,debit,13889.33,Transport
2025-01-11,Electric Company,-142.5,debit,13746.83,Utilities
2025-01-11,Starbucks,-12.75,debit,13734.08,Food & Drinks
2025-01-12,Restaurant XYZ,-77.9,debit,13656.18,Food & Drinks
2025-01-12,Metro Card,-40.0,debit,13616.18,Transport
2025-01-13,Walmart,-87.65,debit,13528.53,Shopping
2025-01-13,Coffee Shop,-9.8,debit,13518.73,Food & Drinks
2025-01-14,Freelance Payment,1100.0,credit,14618.73,Income
2025-01-14,Amazon,-84.5,debit,14534.23,Shopping
2025-01-15,Salary Deposit,2847.32,credit,17381.55,Income
2025-01-15,Phone Bill,-65.0,debit,17316.55,Utilities
